ENSG	Symbol	Mapping	DrugBank
ENSG00000159640	ACE	Positional;eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	DB00178:DB00492:DB00519:DB00542:DB00584:DB00616:DB00691:DB00722:DB00790:DB00881:DB00886:DB01180:DB01197:DB01340:DB01348:DB02032:DB03740:DB08836:DB09477:DB13166
ENSG00000264813	ACE	Positional;BIOSQTL/BIOS_eQTL_geneLevel	DB00178:DB00492:DB00519:DB00542:DB00584:DB00616:DB00691:DB00722:DB00790:DB00881:DB00886:DB01180:DB01197:DB01340:DB01348:DB02032:DB03740:DB08836:DB09477:DB13166
ENSG00000224353	ACE3P	Positional	NA
ENSG00000134575	ACP2	eQTLcatalogue/CEDAR_T-cell_CD4:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000231340	ACTG1P10	eQTLGen_trans_eQTLs	NA
ENSG00000137845	ADAM10	Positional;eQTLcatalogue/CEDAR_T-cell_CD4:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Spleen	DB04991
ENSG00000114948	ADAM23	eQTLGen_trans_eQTLs	NA
ENSG00000197381	ADARB1	eQTLGen_trans_eQTLs	NA
ENSG00000161912	ADCY10P1	Positional;PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Spleen	NA
ENSG00000156110	ADK	eQTLGen_trans_eQTLs	DB00131:DB07173:DB07280
ENSG00000120907	ADRA1A	CMC_SVA_cis	DB00211:DB00246:DB00248:DB00298:DB00321:DB00334:DB00346:DB00363:DB00368:DB00388:DB00408:DB00420:DB00449:DB00450:DB00457:DB00458:DB00477:DB00540:DB00543:DB00555:DB00575:DB00590:DB00610:DB00622:DB00656:DB00661:DB00668:DB00679:DB00692:DB00696:DB00699:DB00706:DB00723:DB00726:DB00734:DB00751:DB00777:DB00797:DB00800:DB00831:DB00852:DB00865:DB00875:DB00908:DB00925:DB00935:DB00964:DB01069:DB01136:DB01142:DB01149:DB01162:DB01175:DB01186:DB01200:DB01224:DB01238:DB01253:DB01267:DB01295:DB01364:DB01403:DB01472:DB01576:DB01579:DB01614:DB01622:DB01624:DB04855:DB04946:DB04948:DB05469:DB05492:DB06144:DB06153:DB06207:DB06216:DB06229:DB06262:DB06694:DB06706:DB06711:DB06764:DB08950:DB09202:DB09239:DB11124:DB12278:DB14185
ENSG00000165923	AGBL2	Positional	NA
ENSG00000204305	AGER	eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Quach_2016_ge_monocyte_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood	NA
ENSG00000106351	AGFG2	Positional;GTEx/v8/Brain_Cerebellum	NA
ENSG00000204310	AGPAT1	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000188157	AGRN	Positional	NA
ENSG00000204472	AIF1	eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLGen_cis_eQTLs:CMC_SVA_cis	NA
ENSG00000163568	AIM2	eQTLGen_trans_eQTLs	NA
ENSG00000179467	AL109806.1	Positional	NA
ENSG00000212084	AL121914.1	Positional	NA
ENSG00000266330	AL355353.1	Positional	NA
ENSG00000268923	AL645922.1	BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000253044	AL691452.1	Positional	NA
ENSG00000178038	ALS2CL	eQTLGen_trans_eQTLs	NA
ENSG00000151150	ANK3	Positional	NA
ENSG00000136250	AOAH	eQTLGen_trans_eQTLs	NA
ENSG00000273492	AP000230.1	Positional;eQTLcatalogue/BrainSeq_ge_brain:PsychENCODE_eQTLs	NA
ENSG00000255139	AP000442.1	GTEx/v8/Brain_Cortex	NA
ENSG00000215504	AP000974.1	PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis	NA
ENSG00000254952	AP001257.1	Positional;eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000224541	AP001439.2	Positional	NA
ENSG00000232692	AP001596.6	GTEx/v8/Brain_Cerebellar_Hemisphere	NA
ENSG00000197934	AP001597.1	PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis	NA
ENSG00000070718	AP3M2	eQTLGen_trans_eQTLs	NA
ENSG00000221838	AP4M1	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000034053	APBA2	eQTLGen_trans_eQTLs	NA
ENSG00000138613	APH1B	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/CEDAR_T-cell_CD4:eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000124701	APOBEC2	Positional;eQTLGen_cis_eQTLs	NA
ENSG00000130208	APOC1	Positional;eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:CMC_SVA_cis:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1	NA
ENSG00000214855	APOC1P1	Positional;PsychENCODE_eQTLs:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000234906	APOC2	Positional;eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:PsychENCODE_eQTLs:BRAINEAC/PUTM:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000267467	APOC4	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:BRAINEAC/PUTM:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	NA
ENSG00000224916	APOC4-APOC2	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000130203	APOE	Positional;eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/Quach_2016_ge_monocyte_naive	DB01593:DB09130:DB14487:DB14533
ENSG00000142192	APP	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/Fairfax_2014_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	DB00746:DB01370:DB01593:DB02235:DB02709:DB04892:DB05088:DB05150:DB05846:DB05938:DB06782:DB09130:DB09148:DB09149:DB09151:DB14487:DB14517:DB14518:DB14533
ENSG00000103569	AQP9	CMC_SVA_cis:BRAINEAC/MEDU	NA
ENSG00000175220	ARHGAP1	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Amygdala	NA
ENSG00000150347	ARID5B	eQTLGen_trans_eQTLs	NA
ENSG00000122644	ARL4A	eQTLcatalogue/BLUEPRINT_ge_neutrophil	NA
ENSG00000130429	ARPC1B	eQTLGen_cis_eQTLs	DB08235:DB08236
ENSG00000267080	ASB16-AS1	eQTLGen_cis_eQTLs	NA
ENSG00000213676	ATF6B	eQTLGen_cis_eQTLs:CMC_SVA_cis:GTEx/v8/Brain_Spinal_cord_cervical_c-1	NA
ENSG00000159199	ATP5G1	eQTLGen_cis_eQTLs	NA
ENSG00000241468	ATP5J2	GTEx/v8/Brain_Putamen_basal_ganglia	NA
ENSG00000230201	ATP6V0CP1	BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000213760	ATP6V1G2	eQTLGen_cis_eQTLs	NA
ENSG00000087586	AURKA	eQTLGen_cis_eQTLs	DB02482:DB05169:DB05198:DB05220:DB06134:DB06347:DB06486:DB07186:DB07266:DB07360:DB07362:DB07545:DB07801:DB08065:DB08066:DB12010:DB13061
ENSG00000168646	AXIN2	eQTLGen_trans_eQTLs	NA
ENSG00000160862	AZGP1	PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	DB03721:DB09130
ENSG00000123810	B9D2	eQTLGen_trans_eQTLs	NA
ENSG00000112182	BACH2	eQTLGen_trans_eQTLs	NA
ENSG00000204463	BAG6	eQTLcatalogue/BrainSeq_ge_brain:eQTLGen_cis_eQTLs:xQTLServer_eQTLs:CMC_SVA_cis:BRAINEAC/WHMT:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	NA
ENSG00000153064	BANK1	eQTLGen_trans_eQTLs	NA
ENSG00000187244	BCAM	Positional;eQTLcatalogue/Kasela_2017_T-cell_CD8:GTEx/v8/Brain_Cerebellar_Hemisphere	NA
ENSG00000119866	BCL11A	eQTLGen_trans_eQTLs	NA
ENSG00000127152	BCL11B	eQTLGen_trans_eQTLs	NA
ENSG00000069399	BCL3	Positional;PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000162373	BEND5	eQTLGen_trans_eQTLs	NA
ENSG00000136717	BIN1	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_T-cell_CD4:eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/Kasela_2017_T-cell_CD4:eQTLcatalogue/Kasela_2017_T-cell_CD8:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_naive:eQTLcatalogue/TwinsUK_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	NA
ENSG00000136573	BLK	eQTLGen_trans_eQTLs	DB12010
ENSG00000189114	BLOC1S3	Positional;eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_blood:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	NA
ENSG00000204256	BRD2	eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:CMC_SVA_cis	NA
ENSG00000186265	BTLA	eQTLGen_trans_eQTLs	NA
ENSG00000204290	BTNL2	Positional;eQTLcatalogue/BrainSeq_ge_brain:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	NA
ENSG00000005379	BZRAP1	Positional;CMC_SVA_cis	NA
ENSG00000265148	BZRAP1-AS1	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000235931	C10orf40	Positional	NA
ENSG00000149179	C11orf49	CMC_SVA_cis	NA
ENSG00000149196	C11orf73	eQTLGen_cis_eQTLs	NA
ENSG00000205710	C17orf107	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267757	C19orf83	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000173369	C1QB	eQTLGen_trans_eQTLs	DB00002:DB00005:DB00054:DB00056:DB00072:DB00074:DB00075:DB00078:DB00081:DB00087:DB00092:DB00095:DB00108:DB00110:DB00111:DB00112:DB01593:DB14487:DB14533
ENSG00000172247	C1QTNF4	Positional;eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Spleen	NA
ENSG00000131591	C1orf159	Positional	NA
ENSG00000166278	C2	eQTLGen_cis_eQTLs	NA
ENSG00000182600	C2orf82	CMC_SVA_cis:BRAINEAC/FCTX:BRAINEAC/aveALL	NA
ENSG00000244731	C4A	eQTLcatalogue/BrainSeq_ge_brain:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:BRAINEAC/PUTM:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Spleen	DB00028
ENSG00000233627	C4A-AS1	BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000224389	C4B	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	DB00028:DB01593:DB09130:DB14487:DB14533
ENSG00000229776	C4B-AS1	BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000123838	C4BPA	eQTLGen_cis_eQTLs	DB01593:DB09130:DB14487:DB14533
ENSG00000123843	C4BPB	eQTLGen_cis_eQTLs	DB01593:DB14487:DB14533
ENSG00000204296	C6orf10	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000204387	C6orf48	eQTLcatalogue/CEDAR_T-cell_CD8:eQTLGen_cis_eQTLs	NA
ENSG00000165131	C7orf34	eQTLGen_cis_eQTLs	NA
ENSG00000146826	C7orf43	Positional;eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/TwinsUK_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000185955	C7orf61	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000063180	CA11	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	DB00909
ENSG00000105767	CADM4	Positional	NA
ENSG00000179218	CALR	eQTLGen_trans_eQTLs	DB00025:DB00031:DB01065:DB06245:DB09130:DB11093:DB11348:DB13998:DB13999:DB14481
ENSG00000108509	CAMTA2	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000105483	CARD8	GTEx/v8/Whole_Blood	NA
ENSG00000087589	CASS4	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000142273	CBLC	Positional;PsychENCODE_eQTLs	NA
ENSG00000147419	CCDC25	eQTLGen_cis_eQTLs	NA
ENSG00000108091	CCDC6	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/Fairfax_2014_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000104983	CCDC61	Positional	NA
ENSG00000149201	CCDC81	CMC_SVA_cis	NA
ENSG00000150676	CCDC83	Positional	NA
ENSG00000112576	CCND3	CMC_SVA_cis	NA
ENSG00000126353	CCR7	eQTLGen_trans_eQTLs	NA
ENSG00000228409	CCT6P1	eQTLGen_trans_eQTLs	NA
ENSG00000204936	CD177	Positional;eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Spleen	NA
ENSG00000204933	CD177P1	BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000012124	CD22	eQTLGen_trans_eQTLs	DB04958:DB05889:DB12688
ENSG00000122223	CD244	eQTLGen_trans_eQTLs	NA
ENSG00000198087	CD2AP	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Spinal_cord_cervical_c-1	NA
ENSG00000105383	CD33	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Spinal_cord_cervical_c-1	DB00056:DB06318
ENSG00000117877	CD3EAP	Positional;eQTLcatalogue/Lepik_2017_ge_blood:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis	NA
ENSG00000102245	CD40LG	eQTLGen_trans_eQTLs	DB06475
ENSG00000117335	CD46	PsychENCODE_eQTLs	NA
ENSG00000244703	CD46P1	Positional	NA
ENSG00000110448	CD5	eQTLGen_trans_eQTLs	NA
ENSG00000196352	CD55	Positional;eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_neutrophil_CD15:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	DB00446
ENSG00000013725	CD6	eQTLGen_trans_eQTLs	NA
ENSG00000173762	CD7	eQTLGen_trans_eQTLs	NA
ENSG00000105369	CD79A	eQTLGen_trans_eQTLs	NA
ENSG00000007312	CD79B	eQTLGen_trans_eQTLs	DB12240
ENSG00000153563	CD8A	eQTLGen_trans_eQTLs	NA
ENSG00000172116	CD8B	eQTLGen_trans_eQTLs	NA
ENSG00000164649	CDCA7L	eQTLGen_trans_eQTLs	NA
ENSG00000170558	CDH2	eQTLGen_trans_eQTLs	NA
ENSG00000213892	CEACAM16	Positional	NA
ENSG00000186567	CEACAM19	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Spleen	NA
ENSG00000176395	CEACAM20	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000230666	CEACAM22P	Positional;PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000241104	CEACAMP10	Positional	NA
ENSG00000230558	CEACAMP2	PsychENCODE_eQTLs	NA
ENSG00000149187	CELF1	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000106477	CEP41	eQTLGen_trans_eQTLs	NA
ENSG00000100422	CERK	eQTLGen_trans_eQTLs	NA
